,NSD_0-2.5,SD_0-2.5
0,5.638839386265774,5.1359024680280125
1,5.358551919203251,4.69507406524592
2,5.113357542172031,4.256084698431369
3,5.062665922792756,3.848740694937075
4,5.561157575117978,4.916943082614982
5,5.014185376486341,4.969339701138847
6,5.126693165628845,5.829875178677504
7,5.849929199576093,4.942817313868139
8,4.67679181204901,4.373143602468751
9,5.47659438391883,4.618731420345746
10,4.81667215445114,4.039238178183198
11,5.495243739459328,5.092179206909363
12,5.540199360362685,4.3851347698651235
13,5.272071611224142,4.562693361422749
14,5.217690433480111,4.841239664892184
15,5.662642755621148,4.578388733589568
16,5.1998135889989845,4.563382536155724
17,5.096739918555344,4.8787658005894565
18,5.752372139274267,4.30057792825432
19,5.752260427119894,5.1660696400118535
20,5.113794298770593,4.432080057247132
21,5.443797515008329,4.501300923322644
22,5.812333516432546,5.001921534841808
23,5.092166643530764,5.061963261985484
24,5.720729563394565,4.849357902638096
25,5.352341103868376,4.122574431214635
26,5.564233610500445,4.381176012694222
27,5.605353739602615,4.380664202895856
28,5.192534523784601,4.969669279167726
29,5.6292013898953535,4.429457541420462
30,5.253759204120525,4.699549574610034
31,5.335798892347734,4.518112846317516
32,5.188051454909102,4.413968493807743
33,5.443108108203271,4.308278448672473
34,4.548891642740506,4.725870864120558
35,5.5234724667667665,4.336550181284764
36,5.497813962424766,4.575454426868386
37,6.221035802221811,4.770195563274999
38,5.246928041579085,4.229350525691643
39,5.507629125645719,4.757727046847453
40,5.6837036902672144,4.549452550564456
41,4.760403536815684,4.766670048241248
42,5.086240423739876,4.063400864346161
43,4.738718362421388,4.706197886497915
44,5.395488185499524,5.508784326182728
45,5.241328963490853,4.725096213443588
46,4.2287346167362285,4.79859001235746
47,5.838388463288542,4.695991582108343
48,5.377462475609111,4.406137741112739
49,5.188434088955005,4.640067603670732
50,5.8975160836439215,4.273984677179616
51,5.185144226602641,4.876303558955819
52,4.98283530184517,5.031563190970568
53,5.8925822369651275,4.6048831804930765
54,4.310717854934431,4.268851952153304
55,5.661268753331909,4.001201720735119
56,5.052180068766846,3.7548913801291657
57,5.551177469119926,4.915813969850165
58,4.474361128977763,4.57281295969874
59,5.154306600951737,4.846004886371538
60,5.444698621186792,4.378269806979447
61,5.936044803622994,4.6485890139654975
62,4.965295018967106,4.969182730582374
63,4.91471410924062,4.134236302911319
64,4.782240668267263,4.745993380169047
65,4.066213037151736,4.5148493063347335
66,5.372550828859006,4.8487600366708845
67,6.041259074807081,4.141979465161751
68,5.932753516653859,4.45103799445482
69,5.662292696405761,4.155238416060367
70,5.362117754041656,4.463847182621089
71,6.211357725319596,4.651211830505734
72,4.886603515861943,4.845368254520042
73,6.167597919667207,4.966119270367443
74,5.096617631705873,5.297251360787351
75,4.772001208992349,4.032533430356117
76,4.657157220512431,5.13864179758247
77,5.013618031999859,4.141629289876358
78,5.311049390690978,4.939478004579571
79,5.936203353833513,4.346376816287013
80,5.989110389008063,4.820747118913987
81,5.3660594628383524,4.259358364379247
82,5.839826142567838,3.981398962737266
83,5.469603790384384,4.788618520824004
84,5.770374460249542,4.514901063731701
85,4.991632446408952,4.551111817878927
86,5.493667319871926,4.060268467648697
87,5.857397543547997,4.195635135885996
88,5.287904265073772,5.07409541245263
89,5.267310353277826,4.39278080259457
90,6.281272590757381,5.194793928769221
91,5.385897403448699,4.463246844846617
92,6.004573205901242,4.4625746510660536
93,5.0267740560677625,4.75753526737761
94,5.660014184272911,4.4244456409893305
95,6.249161976243764,4.825390608798803
96,5.317628558753696,4.660076603653632
97,4.966767539073126,4.68672970330928
98,5.0993339783877225,4.313316298381273
99,5.851329264312572,4.8303094897226835
100,6.939459069439126,4.521786106181961
101,5.469143554439974,4.438876870703609
102,5.45065506487113,5.213557894853621
103,4.539612661175105,4.914435964825654
104,5.945643882987993,4.960595309040725
105,4.570033229618703,5.371188807327742
106,5.559628625996562,4.516859051795853
107,5.70117351733838,4.055242349040529
108,5.349586974202367,5.871186866754454
109,5.227540729521527,4.057666649650093
110,5.672534273591184,4.973054464104067
111,5.999265317071371,5.119203527604778
112,5.336812548152074,4.840999734165079
113,4.694625581104412,4.710848294837307
114,5.135874655270372,4.129269450187814
115,5.895144857953925,4.186331108122012
116,5.245377409769786,5.166818298373589
117,4.902478415706176,4.560883265837484
118,4.981132819693276,4.213157004477416
119,5.707173146410274,4.539258911808741
120,4.916687105274949,4.206787747455737
121,5.291669395558651,4.498419600551386
122,4.65787971911396,4.309890991486554
123,5.083137800321977,4.481716521719284
124,5.762255322266486,4.51301886513572
125,4.946962890045822,5.562169823090744
126,5.949866312772866,4.892307200733104
127,5.599403496468195,5.376779955750995
128,5.059832958874248,3.9571235284625708
129,5.557928913830093,4.523460909833663
130,5.062727073286579,4.475431934919098
131,5.871366382185324,4.561132016239967
132,4.8815810058692675,4.7892772943499615
133,4.904888188375895,4.275076752441883
134,5.120304595873674,4.385658609144219
135,5.823899922876458,4.884064761849686
136,4.85426830947927,4.370682723068464
137,5.33133014386121,5.460615558534508
138,5.624429837403741,4.5082881671150465
139,6.023428426786069,4.413433909736463
140,5.094774048096258,4.079915832852093
141,5.650037801251476,4.695185385623978
